Title,MLM_Sentence
"Excavating and Loading Machine and Dragline Operators, Surface Mining","[MASK] operate or tend machinery at surface mining site, equipped with scoops, shovels, or buckets to excavate and load loose materials."
"Earth Drillers, Except Oil and Gas","[MASK] operate a variety of drills such as rotary, churn, and pneumatic to tap subsurface water and salt deposits, to remove core samples during mineral exploration or soil testing, and to facilitate the use of explosives in mining or construction."
"Explosives Workers, Ordnance Handling Experts, and Blasters","[MASK] place and detonate explosives to demolish structures or to loosen, remove, or displace earth, rock, or other materials."
Continuous Mining Machine Operators,"[MASK] operate self-propelled mining machines that rip coal, metal and nonmetal ores, rock, stone, or sand from the mine face and load it onto conveyors, shuttle cars, or trucks in a continuous operation."
"Roof Bolters, Mining",[MASK] operate machinery to install roof support bolts in underground mine.
"Loading and Moving Machine Operators, Underground Mining","[MASK] operate underground loading or moving machine to load or move coal, ore, or rock using shuttle or mine car or conveyors."
"Underground Mining Machine Operators, All Other",[MASK] all underground mining machine operators not listed separately.
"Rock Splitters, Quarry","[MASK] separate blocks of rough dimension stone from quarry mass using jackhammers, wedges, or chop saws."
"Roustabouts, Oil and Gas",[MASK] assemble or repair oil field equipment using hand and power tools.
Helpers--Extraction Workers,"[MASK] help extraction craft workers, such as earth drillers, blasters and explosives workers, derrick operators, and mining machine operators, by performing duties requiring less skill."
"Extraction Workers, All Other",[MASK] all extraction workers not listed separately.
"First-Line Supervisors of Mechanics, Installers, and Repairers","[MASK] directly supervise and coordinate the activities of mechanics, installers, and repairers."
"Computer, Automated Teller, and Office Machine Repairers","[MASK] repair, maintain, or install computers, word processing systems, automated teller machines, and electronic office machines, such as duplicating and fax machines."
"Radio, Cellular, and Tower Equipment Installers and Repairers","[MASK] repair, install, or maintain mobile or stationary radio transmitting, broadcasting, and receiving equipment, and two-way radio communications systems used in cellular telecommunications, mobile broadband, ship-to-shore, aircraft-to-ground communications, and radio equipment in service and emergency vehicles."
"Telecommunications Equipment Installers and Repairers, Except Line Installers","[MASK] install, set up, rearrange, or remove switching, distribution, routing, and dialing equipment used in central offices or headends."
Avionics Technicians,"[MASK] install, inspect, test, adjust, or repair avionics equipment, such as radar, radio, navigation, and missile control systems in aircraft or space vehicles."
"Electric Motor, Power Tool, and Related Repairers","[MASK] repair, maintain, or install electric motors, wiring, or switches."
"Electrical and Electronics Installers and Repairers, Transportation Equipment","[MASK] install, adjust, or maintain mobile electronics communication equipment, including sound, sonar, security, navigation, and surveillance systems on trains, watercraft, or other mobile equipment."
"Electrical and Electronics Repairers, Commercial and Industrial Equipment","[MASK] repair, test, adjust, or install electronic equipment, such as industrial controls, transmitters, and antennas."
"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","[MASK] inspect, test, repair, or maintain electrical equipment in generating stations, substations, and in-service relays."
"Electronic Equipment Installers and Repairers, Motor Vehicles","[MASK] install, diagnose, or repair communications, sound, security, or navigation equipment in motor vehicles."
Audiovisual Equipment Installers and Repairers,"[MASK] install, repair, or adjust audio or television receivers, stereo systems, camcorders, video systems, or other electronic entertainment equipment in homes or other venues."
Security and Fire Alarm Systems Installers,"[MASK] install, program, maintain, and repair security and fire alarm wiring and equipment."
Aircraft Mechanics and Service Technicians,"[MASK] diagnose, adjust, repair, or overhaul aircraft engines and assemblies, such as hydraulic and pneumatic systems."
Automotive Body and Related Repairers,[MASK] repair and refinish automotive vehicle bodies and straighten vehicle frames.
Automotive Glass Installers and Repairers,[MASK] replace or repair broken windshields and window glass in motor vehicles.
Automotive Service Technicians and Mechanics,"[MASK] diagnose, adjust, repair, or overhaul automotive vehicles."
Bus and Truck Mechanics and Diesel Engine Specialists,"[MASK] diagnose, adjust, repair, or overhaul buses and trucks, or maintain and repair any type of diesel engines."
Farm Equipment Mechanics and Service Technicians,"[MASK] diagnose, adjust, repair, or overhaul farm machinery and vehicles, such as tractors, harvesters, dairy equipment, and irrigation systems."
"Mobile Heavy Equipment Mechanics, Except Engines","[MASK] diagnose, adjust, repair, or overhaul mobile mechanical, hydraulic, and pneumatic equipment, such as cranes, bulldozers, graders, and conveyors, used in construction, logging, and mining."
Rail Car Repairers,"[MASK] diagnose, adjust, repair, or overhaul railroad rolling stock, mine cars, or mass transit rail cars."
Motorboat Mechanics and Service Technicians,[MASK] repair and adjust electrical and mechanical equipment of inboard or inboard-outboard boat engines.
Motorcycle Mechanics,"[MASK] diagnose, adjust, repair, or overhaul motorcycles, scooters, mopeds, dirt bikes, or similar motorized vehicles."
Outdoor Power Equipment and Other Small Engine Mechanics,"[MASK] diagnose, adjust, repair, or overhaul small engines used to power lawn mowers, chain saws, recreational sporting equipment, and related equipment."
Bicycle Repairers,[MASK] repair and service bicycles.
Recreational Vehicle Service Technicians,"[MASK] diagnose, inspect, adjust, repair, or overhaul recreational vehicles including travel trailers."
Tire Repairers and Changers,[MASK] repair and replace tires.
Mechanical Door Repairers,"[MASK] install, service, or repair automatic door mechanisms and hydraulic doors."
"Control and Valve Installers and Repairers, Except Mechanical Door","[MASK] install, repair, and maintain mechanical regulating and controlling devices, such as electric meters, gas regulators, thermostats, safety and flow valves, and other mechanical governors."
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","[MASK] install or repair heating, central air conditioning, HVAC, or refrigeration systems, including oil burners, hot-air furnaces, and heating stoves."
Home Appliance Repairers,"[MASK] repair, adjust, or install all types of electric or gas household appliances, such as refrigerators, washers, dryers, and ovens."
Industrial Machinery Mechanics,"[MASK] repair, install, adjust, or maintain industrial production and processing machinery or refinery and pipeline distribution systems."
"Maintenance Workers, Machinery","[MASK] lubricate machinery, change parts, or perform other routine machinery maintenance."
Millwrights,"[MASK] install, dismantle, or move machinery and heavy equipment according to layout plans, blueprints, or other drawings."
"Refractory Materials Repairers, Except Brickmasons","[MASK] build or repair equipment such as furnaces, kilns, cupolas, boilers, converters, ladles, soaking pits, and ovens, using refractory materials."
Electrical Power-Line Installers and Repairers,[MASK] install or repair cables or wires used in electrical power or distribution systems.
Telecommunications Line Installers and Repairers,"[MASK] install and repair telecommunications cable, including fiber optics."
Camera and Photographic Equipment Repairers,"[MASK] repair and adjust cameras and photographic equipment, including commercial video and motion picture camera equipment."
Medical Equipment Repairers,"[MASK] test, adjust, or repair biomedical or electromedical equipment."
Musical Instrument Repairers and Tuners,"[MASK] repair percussion, stringed, reed, or wind instruments."
Watch and Clock Repairers,"[MASK] repair, clean, and adjust mechanisms of timing instruments, such as watches and clocks."
"Precision Instrument and Equipment Repairers, All Other",[MASK] all precision instrument and equipment repairers not listed separately.
"Maintenance and Repair Workers, General","[MASK] perform work involving the skills of two or more maintenance or craft occupations to keep machines, mechanical equipment, or the structure of a building in repair."
Wind Turbine Service Technicians,"[MASK] inspect, diagnose, adjust, or repair wind turbines."
"Coin, Vending, and Amusement Machine Servicers and Repairers","[MASK] install, service, adjust, or repair coin, vending, or amusement machines including video games, juke boxes, pinball machines, or slot machines."
Commercial Divers,"[MASK] work below surface of water, using surface-supplied air or scuba equipment to inspect, repair, remove, or install equipment and structures."
Locksmiths and Safe Repairers,"[MASK] repair and open locks, make keys, change locks and safe combinations, and install and repair safes."
Manufactured Building and Mobile Home Installers,[MASK] move or install mobile homes or prefabricated buildings.
Riggers,"[MASK] set up or repair rigging for construction projects, manufacturing plants, logging yards, ships and shipyards, or for the entertainment industry."
Signal and Track Switch Repairers,"[MASK] install, inspect, test, maintain, or repair electric gate crossings, signals, signal equipment, track switches, section lines, or intercommunications systems within a railroad system."
"Helpers--Installation, Maintenance, and Repair Workers","[MASK] help installation, maintenance, and repair workers in maintenance, parts replacement, and repair of vehicles, industrial machinery, and electrical and electronic equipment."
"Installation, Maintenance, and Repair Workers, All Other","[MASK] all installation, maintenance, and repair workers not listed separately."
Geothermal Technicians,[MASK] perform technical activities at power plants or individual installations necessary for the generation of power from geothermal energy sources.
First-Line Supervisors of Production and Operating Workers,"[MASK] directly supervise and coordinate the activities of production and operating workers, such as inspectors, precision workers, machine setters and operators, assemblers, fabricators, and plant and system operators."
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","[MASK] assemble, fit, fasten, and install parts of airplanes, space vehicles, or missiles, such as tails, wings, fuselage, bulkheads, stabilizers, landing gear, rigging and control equipment, or heating and ventilating systems."
"Coil Winders, Tapers, and Finishers","[MASK] wind wire coils used in electrical components, such as resistors and transformers, and in electrical equipment and instruments, such as field cores, bobbins, armature cores, electrical motors, generators, and control equipment."
Electrical and Electronic Equipment Assemblers,"[MASK] assemble or modify electrical or electronic equipment, such as computers, test equipment telemetering systems, electric motors, and batteries."
Electromechanical Equipment Assemblers,"[MASK] assemble or modify electromechanical equipment or devices, such as servomechanisms, gyros, dynamometers, magnetic drums, tape drives, brakes, control linkage, actuators, and appliances."
Engine and Other Machine Assemblers,"[MASK] construct, assemble, or rebuild machines, such as engines, turbines, and similar equipment used in such industries as construction, extraction, textiles, and paper manufacturing."
Structural Metal Fabricators and Fitters,"[MASK] fabricate, position, align, and fit parts of structural metal products."
Fiberglass Laminators and Fabricators,"[MASK] laminate layers of fiberglass on molds to form boat decks and hulls, bodies for golf carts, automobiles, or other products."
Timing Device Assemblers and Adjusters,"[MASK] perform precision assembling or adjusting, within narrow tolerances, of timing devices such as digital clocks or timing devices with electrical or electronic components."
Team Assemblers,[MASK] work as part of a team having responsibility for assembling an entire product or component of a product.
"Assemblers and Fabricators, All Other",[MASK] all assemblers and fabricators not listed separately.
Bakers,"[MASK] mix and bake ingredients to produce breads, rolls, cookies, cakes, pies, pastries, or other baked goods."
Butchers and Meat Cutters,"[MASK] cut, trim, or prepare consumer-sized portions of meat for use or sale in retail establishments."
"Meat, Poultry, and Fish Cutters and Trimmers","[MASK] use hands or hand tools to perform routine cutting and trimming of meat, poultry, and seafood."
Slaughterers and Meat Packers,[MASK] perform nonroutine or precision functions involving the preparation of large portions of meat.
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders","[MASK] operate or tend food or tobacco roasting, baking, or drying equipment, including hearth ovens, kiln driers, roasters, char kilns, and vacuum drying equipment."
Food Batchmakers,[MASK] set up and operate equipment that mixes or blends ingredients used in the manufacturing of food products.
Food Cooking Machine Operators and Tenders,"[MASK] operate or tend cooking equipment, such as steam cooking vats, deep fry cookers, pressure cookers, kettles, and boilers, to prepare food products."
"Food Processing Workers, All Other",[MASK] all food processing workers not listed separately.
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","[MASK] set up, operate, or tend machines to extrude or draw thermoplastic or metal materials into tubes, rods, hoses, wire, bars, or structural shapes."
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic","[MASK] set up, operate, or tend forging machines to taper, shape, or form metal or plastic parts."
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic","[MASK] set up, operate, or tend machines to roll steel or plastic forming bends, beads, knurls, rolls, or plate, or to flatten, temper, or reduce gauge of material."
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic","[MASK] set up, operate, or tend machines to saw, cut, shear, slit, punch, crimp, notch, bend, or straighten metal or plastic material."
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic","[MASK] set up, operate, or tend drilling machines to drill, bore, ream, mill, or countersink metal or plastic work pieces."
"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic","[MASK] set up, operate, or tend grinding and related tools that remove excess material or burrs from surfaces, sharpen edges or corners, or buff, hone, or polish metal or plastic work pieces."
"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic","[MASK] set up, operate, or tend lathe and turning machines to turn, bore, thread, form, or face metal or plastic materials, such as wire, rod, or bar stock."
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic","[MASK] set up, operate, or tend milling or planing machines to mill, plane, shape, groove, or profile metal or plastic work pieces."
Machinists,[MASK] set up and operate a variety of machine tools to produce precision parts and instruments out of metal.
Metal-Refining Furnace Operators and Tenders,"[MASK] operate or tend furnaces, such as gas, oil, coal, electric-arc or electric induction, open-hearth, or oxygen furnaces, to melt and refine metal before casting or to produce specified types of steel."
"Pourers and Casters, Metal",[MASK] operate hand-controlled mechanisms to pour and regulate the flow of molten metal into molds to produce castings or ingots.
"Model Makers, Metal and Plastic","[MASK] set up and operate machines, such as lathes, milling and engraving machines, and jig borers to make working models of metal or plastic objects."
"Patternmakers, Metal and Plastic","[MASK] lay out, machine, fit, and assemble castings and parts to metal or plastic foundry patterns, core boxes, or match plates."
Foundry Mold and Coremakers,[MASK] make or form wax or sand cores or molds used in the production of metal castings in foundries.
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic","[MASK] set up, operate, or tend metal or plastic molding, casting, or coremaking machines to mold or cast metal or thermoplastic parts or products."
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic","[MASK] set up, operate, or tend more than one type of cutting or forming machine tool or robot."
Tool and Die Makers,"[MASK] analyze specifications, lay out metal stock, set up and operate machine tools, and fit and assemble parts to make and repair dies, cutting tools, jigs, fixtures, gauges, and machinists' hand tools."
"Welders, Cutters, Solderers, and Brazers","[MASK] use hand-welding, flame-cutting, hand-soldering, or brazing equipment to weld or join metal components or to fill holes, indentations, or seams of fabricated metal products."
"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders","[MASK] set up, operate, or tend welding, soldering, or brazing machines or robots that weld, braze, solder, or heat treat metal products, components, or assemblies."
"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic","[MASK] set up, operate, or tend heating equipment, such as heat-treating furnaces, flame-hardening machines, induction machines, soaking pits, or vacuum equipment to temper, harden, anneal, or heat treat metal or plastic objects."
"Layout Workers, Metal and Plastic","[MASK] lay out reference points and dimensions on metal or plastic stock or workpieces, such as sheets, plates, tubes, structural shapes, castings, or machine parts, for further processing."
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic","[MASK] set up, operate, or tend plating machines to coat metal or plastic products with chromium, zinc, copper, cadmium, nickel, or other metal to protect or decorate surfaces."
"Tool Grinders, Filers, and Sharpeners","[MASK] perform precision smoothing, sharpening, polishing, or grinding of metal objects."
"Metal Workers and Plastic Workers, All Other",[MASK] all metal workers and plastic workers not listed separately.
Prepress Technicians and Workers,[MASK] format and proof text and images submitted by designers and clients into finished pages that can be printed.
Printing Press Operators,"[MASK] set up and operate digital, letterpress, lithographic, flexographic, gravure, or other printing machines."
Print Binding and Finishing Workers,[MASK] bind books and other publications or finish printed products by hand or machine.
Laundry and Dry-Cleaning Workers,"[MASK] operate or tend washing or dry-cleaning machines to wash or dry-clean industrial or household articles, such as cloth garments, suede, leather, furs, blankets, draperies, linens, rugs, and carpets."
"Pressers, Textile, Garment, and Related Materials",[MASK] press or shape articles by hand or machine.
Sewing Machine Operators,"[MASK] operate or tend sewing machines to join, reinforce, decorate, or perform related sewing operations in the manufacture of garment or nongarment products."
Shoe and Leather Workers and Repairers,"[MASK] construct, decorate, or repair leather and leather-like products, such as luggage, shoes, and saddles."
Shoe Machine Operators and Tenders,"[MASK] operate or tend a variety of machines to join, decorate, reinforce, or finish shoes and shoe parts."
"Sewers, Hand","[MASK] sew, join, reinforce, or finish, usually with needle and thread, a variety of manufactured items."
"Tailors, Dressmakers, and Custom Sewers","[MASK] design, make, alter, repair, or fit garments."
Textile Bleaching and Dyeing Machine Operators and Tenders,"[MASK] operate or tend machines to bleach, shrink, wash, dye, or finish textiles or synthetic or glass fibers."
"Textile Cutting Machine Setters, Operators, and Tenders","[MASK] set up, operate, or tend machines that cut textiles."
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders","[MASK] set up, operate, or tend machines that knit, loop, weave, or draw in textiles."
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders","[MASK] set up, operate, or tend machines that wind or twist textiles; or draw out and combine sliver, such as wool, hemp, or synthetic fibers."
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers","[MASK] set up, operate, or tend machines that extrude and form continuous filaments from synthetic materials, such as liquid polymer, rayon, and fiberglass."
Fabric and Apparel Patternmakers,[MASK] draw and construct sets of precision master fabric patterns or layouts.
Upholsterers,"[MASK] make, repair, or replace upholstery for household furniture or transportation vehicles."
"Textile, Apparel, and Furnishings Workers, All Other","[MASK] all textile, apparel, and furnishings workers not listed separately."
Cabinetmakers and Bench Carpenters,"[MASK] cut, shape, and assemble wooden articles or set up and operate a variety of woodworking machines, such as power saws, jointers, and mortisers to surface, cut, or shape lumber or to fabricate parts for wood products."
Furniture Finishers,"[MASK] shape, finish, and refinish damaged, worn, or used furniture or new high-grade furniture to specified color or finish."
"Model Makers, Wood",[MASK] construct full-size and scale wooden precision models of products.
"Patternmakers, Wood","[MASK] plan, lay out, and construct wooden unit or sectional patterns used in forming sand molds for castings."
"Sawing Machine Setters, Operators, and Tenders, Wood","[MASK] set up, operate, or tend wood sawing machines."
"Woodworking Machine Setters, Operators, and Tenders, Except Sawing","[MASK] set up, operate, or tend woodworking machines, such as drill presses, lathes, shapers, routers, sanders, planers, and wood nailing machines."
"Woodworkers, All Other",[MASK] all woodworkers not listed separately.
Nuclear Power Reactor Operators,[MASK] operate or control nuclear reactors.
Power Distributors and Dispatchers,"[MASK] coordinate, regulate, or distribute electricity or steam."
Power Plant Operators,"[MASK] control, operate, or maintain machinery to generate electric power."
Biomass Plant Technicians,[MASK] control and monitor biomass plant activities and perform maintenance as needed.
Hydroelectric Plant Technicians,[MASK] monitor and control activities associated with hydropower generation.
Stationary Engineers and Boiler Operators,"[MASK] operate or maintain stationary engines, boilers, or other mechanical equipment to provide utilities for buildings or industrial processes."
Water and Wastewater Treatment Plant and System Operators,"[MASK] operate or control an entire process or system of machines, often through the use of control boards, to transfer or treat water or wastewater."
Chemical Plant and System Operators,[MASK] control or operate entire chemical processes or system of machines.
Gas Plant Operators,[MASK] distribute or process gas for utility companies and others by controlling compressors to maintain specified pressures on main pipelines.
"Petroleum Pump System Operators, Refinery Operators, and Gaugers",[MASK] operate or control petroleum refining or processing units.
"Plant and System Operators, All Other",[MASK] all plant and system operators not listed separately.
Biofuels Processing Technicians,"[MASK] calculate, measure, load, mix, and process refined feedstock with additives in fermentation or reaction process vessels and monitor production process."
Chemical Equipment Operators and Tenders,[MASK] operate or tend equipment to control chemical changes or reactions in the processing of industrial or consumer products.
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","[MASK] set up, operate, or tend continuous flow or vat-type equipment; filter presses; shaker screens; centrifuges; condenser tubes; precipitating, fermenting, or evaporating tanks; scrubbing towers; or batch stills."
"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders","[MASK] set up, operate, or tend machines to crush, grind, or polish materials, such as coal, glass, grain, stone, food, or rubber."
"Grinding and Polishing Workers, Hand","[MASK] grind, sand, or polish, using hand tools or hand-held power tools, a variety of metal, wood, stone, clay, plastic, or glass objects."
"Mixing and Blending Machine Setters, Operators, and Tenders","[MASK] set up, operate, or tend machines to mix or blend materials, such as chemicals, tobacco, liquids, color pigments, or explosive ingredients."
"Cutters and Trimmers, Hand","[MASK] use hand tools or hand-held power tools to cut and trim a variety of manufactured items, such as carpet, fabric, stone, glass, or rubber."
"Cutting and Slicing Machine Setters, Operators, and Tenders","[MASK] set up, operate, or tend machines that cut or slice materials, such as glass, stone, cork, rubber, tobacco, food, paper, or insulating material."
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders","[MASK] set up, operate, or tend machines, such as glass-forming machines, plodder machines, and tuber machines, to shape and form products such as glassware, food, rubber, soap, brick, tile, clay, wax, tobacco, or cosmetics."
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","[MASK] operate or tend heating equipment other than basic metal, plastic, or food processing equipment."
"Inspectors, Testers, Sorters, Samplers, and Weighers","[MASK] inspect, test, sort, sample, or weigh nonagricultural raw materials or processed, machined, fabricated, or assembled parts or products for defects, wear, and deviations from specifications."
Jewelers and Precious Stone and Metal Workers,"[MASK] design, fabricate, adjust, repair, or appraise jewelry, gold, silver, other precious metals, or gems."
Gem and Diamond Workers,"[MASK] fabricate, finish, or evaluate the quality of gems and diamonds used in jewelry or industrial tools."
Dental Laboratory Technicians,[MASK] construct and repair full or partial dentures or dental appliances.
Medical Appliance Technicians,"[MASK] construct, maintain, or repair medical supportive devices such as braces, orthotics and prosthetic devices, joints, arch supports, and other surgical and medical appliances."
Ophthalmic Laboratory Technicians,"[MASK] cut, grind, and polish eyeglasses, contact lenses, or other precision optical elements."
Packaging and Filling Machine Operators and Tenders,[MASK] operate or tend machines to prepare industrial or consumer products for storage or shipment.
"Painting, Coating, and Decorating Workers","[MASK] paint, coat, or decorate articles, such as furniture, glass, plateware, pottery, jewelry, toys, books, or leather."
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","[MASK] set up, operate, or tend spraying or rolling machines to coat or paint any of a wide variety of products, including glassware, cloth, ceramics, metal, plastic, paper, or wood, with lacquer, silver, copper, rubber, varnish, glaze, enamel, oil, or rust-proofing materials."
Semiconductor Processing Technicians,"[MASK] perform any or all of the following functions in the manufacture of electronic semiconductors: load semiconductor material into furnace; saw formed ingots into segments; load individual segment into crystal growing chamber and monitor controls; locate crystal axis in ingot using x-ray equipment and saw ingots into wafers; and clean, polish, and load wafers into series of special purpose furnaces, chemical baths, and equipment used to form circuitry and change conductive properties."
Photographic Process Workers and Processing Machine Operators,[MASK] perform work involved in developing and processing photographic images from film or digital media.
Computer Numerically Controlled Tool Operators,"[MASK] operate computer-controlled tools, machines, or robots to machine or process parts, tools, or other work pieces made of metal, plastic, wood, stone, or other materials."
Computer Numerically Controlled Tool Programmers,"[MASK] develop programs to control machining or processing of materials by automatic machine tools, equipment, or systems."
Adhesive Bonding Machine Operators and Tenders,[MASK] operate or tend bonding machines that use adhesives to join items for further processing or to form a completed product.
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","[MASK] operate or tend machines to wash or clean products, such as barrels or kegs, glass items, tin plate, food, pulp, coal, plastic, or rubber, to remove impurities."
Cooling and Freezing Equipment Operators and Tenders,"[MASK] operate or tend equipment such as cooling and freezing units, refrigerators, batch freezers, and freezing tunnels, to cool or freeze products, food, blood plasma, and chemicals."
Etchers and Engravers,"[MASK] engrave or etch metal, wood, rubber, or other materials."
"Molders, Shapers, and Casters, Except Metal and Plastic","[MASK] mold, shape, form, cast, or carve products such as food products, figurines, tile, pipes, and candles consisting of clay, glass, plaster, concrete, stone, or combinations of materials."
"Stone Cutters and Carvers, Manufacturing",[MASK] cut or carve stone according to diagrams and patterns.
"Glass Blowers, Molders, Benders, and Finishers",[MASK] shape molten glass according to patterns.
"Potters, Manufacturing","[MASK] operate production machines such as pug mill, jigger machine, or potter's wheel to process clay in manufacture of ceramic, pottery and stoneware products."
"Paper Goods Machine Setters, Operators, and Tenders","[MASK] set up, operate, or tend paper goods machines that perform a variety of functions, such as converting, sawing, corrugating, banding, wrapping, boxing, stitching, forming, or sealing paper or paperboard sheets into products."
Tire Builders,[MASK] operate machines to build tires.
Helpers--Production Workers,[MASK] help production workers by performing duties requiring less skill.
"Production Workers, All Other",[MASK] all production workers not listed separately.
Aircraft Cargo Handling Supervisors,"[MASK] supervise and coordinate the activities of ground crew in the loading, unloading, securing, and staging of aircraft cargo or baggage."
"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand","[MASK] directly supervise and coordinate the activities of helpers, laborers, or material movers, hand."
Recycling Coordinators,[MASK] supervise curbside and drop-off recycling programs for municipal governments or private firms.
First-Line Supervisors of Material-Moving Machine and Vehicle Operators,[MASK] directly supervise and coordinate activities of material-moving machine and vehicle operators and helpers.
First-Line Supervisors of Passenger Attendants,[MASK] supervise and coordinate activities of passenger attendants.
"First-Line Supervisors of Transportation Workers, All Other",[MASK] all first-line supervisors of transportation workers not listed separately.
"Airline Pilots, Copilots, and Flight Engineers","[MASK] pilot and navigate the flight of fixed-wing aircraft, usually on scheduled air carrier routes, for the transport of passengers and cargo."
Commercial Pilots,"[MASK] pilot and navigate the flight of fixed-wing aircraft on nonscheduled air carrier routes, or helicopters."
Air Traffic Controllers,"[MASK] control air traffic on and within vicinity of airport, and movement of air traffic between altitude sectors and control centers, according to established procedures and policies."
Airfield Operations Specialists,[MASK] ensure the safe takeoff and landing of commercial and military aircraft.
Flight Attendants,[MASK] monitor safety of the aircraft cabin.
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians","[MASK] drive ambulance or assist ambulance driver in transporting sick, injured, or convalescent persons."
Driver/Sales Workers,"[MASK] drive truck or other vehicle over established routes or within an established territory and sell or deliver goods, such as food products, including restaurant take-out items, or pick up or deliver items such as commercial laundry."
Heavy and Tractor-Trailer Truck Drivers,"[MASK] drive a tractor-trailer combination or a truck with a capacity of at least 26,001 pounds Gross Vehicle Weight (GVW)."
Light Truck Drivers,"[MASK] drive a light vehicle, such as a truck or van, with a capacity of less than 26,001 pounds Gross Vehicle Weight (GVW), primarily to pick up merchandise or packages from a distribution center and deliver."
"Bus Drivers, School",[MASK] drive a school bus to transport students.
"Bus Drivers, Transit and Intercity","[MASK] drive bus or motor coach, including regular route operations, charters, and private carriage."
Shuttle Drivers and Chauffeurs,[MASK] drive a motor vehicle to transport passengers on a planned or scheduled basis.
Taxi Drivers,"[MASK] drive a motor vehicle to transport passengers on an unplanned basis and charge a fare, usually based on a meter."
"Motor Vehicle Operators, All Other",[MASK] all motor vehicle operators not listed separately.
Locomotive Engineers,"[MASK] drive electric, diesel-electric, steam, or gas-turbine-electric locomotives to transport passengers or freight."
"Rail Yard Engineers, Dinkey Operators, and Hostlers","[MASK] drive switching or other locomotive or dinkey engines within railroad yard, industrial plant, quarry, construction project, or similar location."
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",[MASK] operate or monitor railroad track switches or locomotive instruments.
Railroad Conductors and Yardmasters,"[MASK] coordinate activities of switch-engine crew within railroad yard, industrial plant, or similar location."
Subway and Streetcar Operators,"[MASK] operate subway or elevated suburban trains with no separate locomotive, or electric-powered streetcar, to transport passengers."
"Rail Transportation Workers, All Other",[MASK] all rail transportation workers not listed separately.
Sailors and Marine Oilers,"[MASK] stand watch to look for obstructions in path of vessel, measure water depth, turn wheel on bridge, or use emergency equipment as directed by captain, mate, or pilot."
"Captains, Mates, and Pilots of Water Vessels","[MASK] command or supervise operations of ships and water vessels, such as tugboats and ferryboats."
Motorboat Operators,[MASK] operate small motor-driven boats.
Ship Engineers,"[MASK] supervise and coordinate activities of crew engaged in operating and maintaining engines, boilers, deck machinery, and electrical, sanitary, and refrigeration equipment aboard ship."
Bridge and Lock Tenders,"[MASK] operate and tend bridges, canal locks, and lighthouses to permit marine passage on inland waterways, near shores, and at danger points in waterway passages."
Parking Attendants,[MASK] park vehicles or issue tickets for customers in a parking lot or garage.
Automotive and Watercraft Service Attendants,"[MASK] service automobiles, buses, trucks, boats, and other automotive or marine vehicles with fuel, lubricants, and accessories."
Aircraft Service Attendants,[MASK] service aircraft with fuel.
Traffic Technicians,"[MASK] conduct field studies to determine traffic volume, speed, effectiveness of signals, adequacy of lighting, and other factors influencing traffic conditions, under direction of traffic engineer."
Transportation Inspectors,[MASK] inspect equipment or goods in connection with the safe transport of cargo or people.
Aviation Inspectors,"[MASK] inspect aircraft, maintenance procedures, air navigational aids, air traffic controls, and communications equipment to ensure conformance with Federal safety regulations."
"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation","[MASK] inspect and monitor transportation equipment, vehicles, or systems to ensure compliance with regulations and safety standards."
Passenger Attendants,"[MASK] provide services to ensure the safety of passengers aboard ships, buses, trains, or within the station or terminal."
"Transportation Workers, All Other",[MASK] all transportation workers not listed separately.
Conveyor Operators and Tenders,"[MASK] control or tend conveyors or conveyor systems that move materials or products to and from stockpiles, processing stations, departments, or vehicles."
